text,font,size,top,page,label
Overview Foundation Level Extensions,"arial,bold",24,189.62002563476562,1,title
Revision History,"arial,bold",15.960000038146973,108.93620300292969,3,H1
Table of Contents,"arial,bold",15.960000038146973,108.93620300292969,4,H1
Acknowledgements,arial,15.960000038146973,108.93620300292969,5,H1
1. Introduction to the Foundation Level Extensions,arial,15.960000038146973,122.97618103027344,6,H1
2. Introduction to Foundation Level Agile Tester Extension,arial,15.960000038146973,122.97618103027344,7,H1
2.1 Intended Audience,arial,14.039999961853027,217.35379028320312,7,H2
2.2 Career Paths for Testers,arial,14.039999961853027,484.5238037109375,7,H2
2.3 Learning Objectives,arial,14.039999961853027,613.6738281,7,H2
2.4 Entry Requirements,arial,14.039999961853027,156.99380493164062,8,H2
2.5 Structure and Course Duration,arial,14.039999961853027,217.11380004882812,8,H2
2.6 Keeping It Current,arial,14.039999961853027,133.95376586914062,9,H2
3. Overview of the Foundation Level Extension –  Agile Tester,arial,15.960000038146973,119.85618591308594,10,H1
3.1 Business Outcomes,arial,14.039999961853027,187.95376586914062,10,H2
3.2 Content,arial,14.039999961853027,533.0038452148438,10,H2
4. References,arial,15.960000038146973,122.97618103027344,12,H1
4.1 Trademarks,arial,14.039999961853027,171.39376831054688,12,H2
4.2 Documents and Web Sites,arial,14.039999961853027,257.4637756347656,12,H2
Somalia Flood Exposure Methodology Note,robotoslabbold,16,142.3443756,1,title
Analysis for 2024 HNRP,robotoslabregular,16,170.3443756,1,H1
